producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
190;3;2177-6644;;;;TEL (TEMPO, ESPACO E LINGUAGEM);9;1;;10.5935/2177-6644.20180002;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;Q3
3810;21;1389-5575;;428;438;MINI-REVIEWS IN MEDICINAL CHEMISTRY;18;5;;10.2174/1389557516666160118112313;BENTHAM SCIENCE PUBL LTD;Q1
4637;82;0144-8463;;1;10;BIOSCIENCE REPORTS;6;6;;;PORTLAND PRESS LTD;NO INDEXADO
4824;39;1569-4445;;175;186;NEAR SURFACE GEOPHYSICS;15;1;;10.3997/1873-0604.2017004;EUROPEAN ASSOC GEOSCIENTISTS & ENGINEERS;Q2
5090;21;1040-6182;;165;177;QUATERNARY INTERNATIONAL;;466;;10.1016/j.quaint.2016.03.003;PERGAMON-ELSEVIER SCIENCE LTD;Q1
5105;39;0567-7572;;149;155;ACTA HORTICULTURAE;1194;1;;10.17660/ActaHortic.2018.1194.23;INTERNATIONAL SOCIETY FOR HORTICULTURAL SCIENCE;Q4
5187;1;;;1;12;REVISTA ARGENTINA DE ANTROPOLOGÍA BIOLÓGICA;19;1;;10.17139/raab.2017.0019.01.05;ASOCIACIÓN ARGENTINA DE ANTROPOLOGÍA BIOLÓGICA;NO INDEXADO
5281;1;0327-5159;;137;146;ARQUEOLOGÍA (BUENOS AIRES);23;;;;UNIVERSIDAD DE BUENOS AIRES - FFYL;Q2
5284;1;1666-6917;;99;110;TECNOLOGÍA Y CIENCIA;31;1;;;UNIVERSIDAD TECNOLÓGICA NACIONAL SECRETARÍA DE CIENCIA, TECNOLOGÍA Y POSGRADO PROGRAMA DE TECNOLOGÍA EDUCATIVA Y ENSEÑANZA DE LA INGENIERÍA.;NO INDEXADO
6558;31;0947-3602;;33;61;REQUIREMENTS ENGINEERING;23;1;;10.1007/s00766-016-0257-3;SPRINGER;Q2
6699;82;0950-091X;;142;159;BASIN RESEARCH;30;;;10.1111/bre.12212;WILEY-BLACKWELL PUBLISHING, INC;Q1
6810;35;0034-8341;;819;843;REVISTA DE INDIAS;78;274;;10.3989/revindias.2018.i274	;CSIC;Q2
7243;31;1012-2443;;43;68;ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE;82;1-3;;10.1007/s10472-016-9519-5;SPRINGER;Q3
7409;3;1982-6745;;;;REVISTA REDES (UNISC);2;14;;;UNISC ;NO INDEXADO
7435;31;1436-6207;;569;583;EUROPEAN JOURNAL OF NUTRITION;57;;;10.1007/s00394-016-1343-5;DR DIETRICH STEINKOPFF VERLAG;Q1
7813;21;1574-8936;;64;72;CURRENT BIOINFORMATICS;13;1;;10.2174/1574893611666161123123204;BENTHAM SCIENCE PUBL LTD;Q4
7980;21;0032-0862;;584;594;PLANT PATHOLOGY;67;;;;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
8138;21;0272-8397;;1331;1338;POLYMER COMPOSITES;39;4;;10.1002/pc.24073;JOHN WILEY & SONS INC;Q1
8341;31;0167-4366;;623;635;AGROFORESTRY SYSTEMS;92;;;10.1007/s10457-016-9999-7;SPRINGER;Q2
8365;39;0026-265X;;113;120;MICROCHEMICAL JOURNAL;136;;;10.1016/j.microc.2016.11.007 0026-265X/;ELSEVIER SCIENCE BV;Q1
8417;21;1477-1535;;191;204;LIGHTING RESEARCH & TECHNOLOGY;50;2;;10.1177/1477153516656225;SAGE PUBLICATIONS LTD;Q2
8441;39;0034-6667;;1;10;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;;0;;;ELSEVIER SCIENCE BV;Q1
8443;39;1549-9634;;;;NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE;;;;;ELSEVIER SCIENCE BV;Q1
9427;31;0026-4598;;;;MINERALIUM DEPOSITA;;;;;SPRINGER;Q1
9714;1;0300-9033;;201;204;ACTA GASTROENTEROLOGICA LATINOAMERICANA.;46;3;;;SOCIEDAD ARGENTINA DE GASTROENTEROLOGÍA;NO INDEXADO
9917;35;0213-2230;;195;220;REVISTA MATEMATICA IBEROAMERICANA;34;1;;10.4171/rmi/983;UNIV AUTONOMA MADRID;Q1
10010;82;0308-2105;;1;18;PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS;;;;10.1017/S0308210517000361;ROYAL SOC EDINBURGH;Q1
10164;82;;;77;108;CAPITAL & CLASS;42;1;;10.1177/0309816817692125;SAGE;NO INDEXADO
10203;1;0325-7541;;126;130;REVISTA ARGENTINA DE MICROBIOLOGÃ­A;50;2;;10.1016/j.ram.2016.11.008;ASOCIACION ARGENTINA MICROBIOLOGIA;Q3
10438;82;0706-0661;;1;11;CANADIAN JOURNAL OF PLANT PATHOLOGY-REVUE CANADIENNE DE PHYTOPATHOLOGIE;;;;10.1080/07060661.2018.1484390;CANADIAN PHYTOPATHOLOGICAL SOC;Q2
10449;1;0325-7541;;70;74;REVISTA ARGENTINA DE MICROBIOLOGÃ­A;49;1;;;ASOCIACION ARGENTINA MICROBIOLOGIA;Q3
10621;3;0103-2070;;217;247;TEMPO SOCIAL;30;3;;;UNIVERSIDADE DE SAO PAULO;Q3
10856;3;1981-1268;;56;80;GAIA SCIENTIA;12;1;;10.21707/gs.v11.n04a09;UNIVERSIDADE FEDERAL DA PARAÍBA, PROGRAMA DE PÓS GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE;NO INDEXADO
11226;21;1040-6182;;157;164;QUATERNARY INTERNATIONAL;466;;;10.1016/j.quaint.2016.04.011;PERGAMON-ELSEVIER SCIENCE LTD;Q1
11442;1;0070-1769;;;;CUADERNOS DEL SUR;;;;;INSTITUTO DE HUMANIDADES, UNIVERSIDAD NACIONAL DEL SUR;NO INDEXADO
11470;82;0886-5655;;157;177;JOURNAL OF BORDERLANDS STUDIES;33;1;;10.1080/08865655.2016.1257363;TAYLOR & FRANCIS - ASSOCIATION FOR BORDERLANDS STUDIES;NO INDEXADO
11851;21;0300-9009;;627;628;ACTA NEUROLOGICA BELGICA;116;4;;10.1007/s13760-016-0615-4;ACTA MEDICA BELGICA;Q3
11855;21;0018-9286;;2994;3001;IEEE TRANSACTIONS ON AUTOMATIC CONTROL;63;9;;10.1109/TAC.2017.2776598;IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC;Q1
12350;82;0025-3154;;485;494;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;98;3;;10.1017/S0025315416001715;CAMBRIDGE UNIV PRESS;Q3
12619;1;2362-3349;;167;184;REVISTA DE LA ESCUELA DE CIENCIAS DE LA EDUCACIÓN;2;12;;;FACULTAD DE HUMANIDADES Y ARTES (UNR);NO INDEXADO
12683;37;1295-926X;;89;111;GEOGRAPHIE, ECONOMIE, SOCIETE;20;;;10.3166/ges.20.2017.0030;LAVOISIER;Q4
12933;3;;;1047;1065;COMPUTATIONAL AND APPLIED MATHEMATICS;37;;;10.1007/s40314-016-0384-y;SPRINGER;NO INDEXADO
13264;21;1087-1845;;31;39;FUNGAL GENETICS AND BIOLOGY;112;;;10.1016/j.fgb.2016.10.001;ACADEMIC PRESS INC ELSEVIER SCIENCE;Q2
13271;31;1064-7554;;37;70;JOURNAL OF MAMMALIAN EVOLUTION; 25;;;10.1007/s10914-016-9363-8;SPRINGER;Q2
13334;1;;;;;PROGRAMA INTERUNIVERSITARIO DE HISTORIA POLÍTICA;;6;;;UNMDP;NO INDEXADO
13466;5;0718-1043;;7;24;ESTUDIOS ATACAMEÑOS;57;;;;INSTITUTO DE ARQUEOLOGIA Y ANTROPOLOGIA- UNIVERSIDAD CATOLICA DEL NORTE;NO INDEXADO
13469;31;1436-6207;;569;583;EUROPEAN JOURNAL OF NUTRITION;57;2;;10.1007/s00394-016-1343-5;DR DIETRICH STEINKOPFF VERLAG;Q1
13639;1;;;94;113;REVISTA CIENTÍFICA VISION DE FUTURO;22;15;;;UNIVERSITARIA DE LA UNAM ;NO INDEXADO
13644;1;;;71;93;REVISTA CIENTÍFICA VISION DE FUTURO;22;15;;;UNIVERSITARIA DE LA UNAM ;NO INDEXADO
13742;1;1668-1673;;231;240;REFLEXIÓN ACADÉMICA EN DISEÑO Y COMUNICACIÓN;33;;;;UNIVERSIDAD DE PALERMO;NO INDEXADO
13755;39;0026-265X;;185;192;MICROCHEMICAL JOURNAL;136;;;10.1016/j.microc.2016.11.019;ELSEVIER SCIENCE BV;Q1
13901;12;;;;;REVISTA COSTARRICENSE DE PSICOLOGÍA;37;2;;;COLEGIO PROFESIONAL DE PSICÓLOGOS DE COSTA RICA;NO INDEXADO
13918;32;;;1;15;EMPIRICA;45;1;;10.1007/s10663-016-9340-8;SPRINGER;NO INDEXADO
14016;1;1514-044X;;61;75;PENSAMIENTO DE LOS CONFINES;;31;;;GUADALQUIVIR;NO INDEXADO
14197;1;0328?2058;;;;REVISTA ARGENTINA DE ECONOMÍA Y CIENCIAS SOCIALES;;;;;EDICIONES DE LA UNIVERSIDAD-UNIVERSIDAD DE BUENOS AIRES;NO INDEXADO
14503;35;1579-1513;;564;580;REVISTA ELECTRÓNICA DE ENSEÑANZA DE LAS CIENCIAS;17;3;;;UNIVERSIDAD DE VIGO;NO INDEXADO
14555;21;0025-1909;;;;MANAGEMENT SCIENCE;;;;;INFORMS;Q1
14737;7;2007-2872;;138;151;REVISTA IBEROAMERICANA DE EDUCACIÓN SUPERIOR;9;24;;10.22201/iisue.20072872e.2018.24.266;INSTITUTO DE INVESTIGACIONES SOBRE LA UNIVERSIDAD Y LA EDUCACIÓN (IISUE) DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM) Y UNIVERSIA.;Q4
14741;31;1433-2779;;665;688;INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER;20;6;;10.1007/978-3-662-54494-5_20;SPRINGER VERLAG;Q2
14761;82;1477-0385;;464;484;WAR IN HISTORY;25;4;;10.1177/0968344516682043;SAGE PUBLICATIONS;Q2
14921;1;;;335;341;REVISTA DE LA FACULTAD DE DERECHO DE LA UNR;;22;;;RUBINZAL CULZONI;NO INDEXADO
15062;521;;;1084;1096;ARABIAN JOURNAL OF CHEMISTRY;11;7;;10.1016/j.arabjc.2016.12.019;ELSEVIER B.V. ON BEHALF OF KING SAUD UNIVERSITY;NO INDEXADO
15674;41;2421-4124;;2;18;MONTESQUIEU.IT;10;;;10.5209//rev_INGE.2016.v10.54735;DIPARTIMENTO DI FILOSOFIA E COMUNICAZIONE, UNIVERSITÀ DI BOLOGNA;NO INDEXADO
15733;3;2236-9996;;;;CADERNOS METRÓPOLE;20;42;;10.1590/cm.v20i42.30889;EDITORA DA PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAUL;NO INDEXADO
15758;7;0188-7653;;1;19;PERFILES LATINOAMERICANOS;26;52;;;FLACSO;Q4
15957;39;0018-8158;;39;48;HYDROBIOLOGIA;816;1;;10.1007/s10750-016-3080-4;SPRINGER;Q1
16134;4;0121-5167;;13;35;ESTUDIOS POLÍTICOS;;51;;10.17533/udea.espo.n51a02;UNIVERSIDAD DE ANTIOQUIA;NO INDEXADO
16141;4;0120-0062;;267;287;IDEAS Y VALORES;67;168;;10.15446/ideasyvalores.v67n168.60289;UNIVERSIDAD NACIONAL DE COLOMBIA;Q4
16468;31;1866-3370;;253;273;CURRENT TOPICS IN BEHAVIORAL NEUROSCIENCES;37;;;10.1007/7854_2016_467;SPRINGER-VERLAG BERLIN HEIDELBERG;Q2
16486;82;1126-3504;;166;174;PLANT BIOSYSTEMS;152;;;10.1080/11263504.2016.1265611;TAYLOR & FRANCIS LTD;Q2
16715;31;0209-9683;;779;801;COMBINATORICA;38;;;10.1007/s00493-017-3553-8;SPRINGER;Q1
17264;31;0075-4102;;265;292;JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK;734;;;10.1515/crelle-2014-0154;WALTER DE GRUYTER & CO;Q1
19401;61;1976-1902;;794;797;ASIAN SPINE JOURNAL;9;5;;10.4184/asj.2015.9.5.794;SCHOLARONE;NO INDEXADO
21229;82;0035-8711;;4052;4067;MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY;478;3;;10.1093/mnras/stv1778;WILEY-BLACKWELL PUBLISHING, INC;Q1
21981;1;1666 6917;;;;REVISTA TECNOLOGÍA Y CIENCIA;;31;;;SECRETARÍA DE CIENCIA Y TECNOLOGÍA, UTN;NO INDEXADO
22220;3;1981-1268;;90;108;GAIA SCIENTIA;12;;;;PROGRAMA DE PÓS GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE ? PRODEMA, DA UNIVERSIDADE FEDERAL DA PARAÍBA;NO INDEXADO
22413;21;1550-7998;;1;14;PHYSICAL REVIEW D;97;2;;10.1103/PhysRevD.92.083516;AMER PHYSICAL SOC;NO INDEXADO
22482;64;2187-0764;;61;67;THE CERAMIC SOCIETY OF JAPAN AND THE KOREAN CERAMIC SOCIETY;4;1;;10.1016/j.jascer.2015.11.003;THE CERAMIC SOCIETY OF JAPAN AND THE KOREAN CERAMIC SOCIETY. PRODUCTION AND HOSTING BY ELSEVIER B.V.;NO INDEXADO
23009;3;1981-1268;;128;145;GAIA SCIENTIA;12;;;;PROGRAMA DE PÓS GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE ? PRODEMA CCEN - UNIVERSIDADE FEDERAL DA PARAÍBA;NO INDEXADO
25984;1;1514-2159;;65;78;TEMAS Y PROBLEMAS DE COMUNICACIÓN;XVI;16;;;CENTRO DE INVESTIGACIONES EN COMUNICACIÓN - UNRC;NO INDEXADO
26548;82;1475-4991;;52;82;REVIEW OF INCOME AND WEALTH;64;1;;10.1111/roiw.12275;WILEY;NO INDEXADO
28229;31;0021-7670;;;;JOURNAL D4ANALYSE MATHEMATIQUE;134;2;;;SPRINGER;Q1
29125;31;0075-4102;;33;48;JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK;737;;;;WALTER DE GRUYTER & CO;Q1
29738;1;1852-6217;;20;45;REVISTA GEOLOGICA LILLOANA;1;;;;FUNDACION MIGUEL LILLO;NO INDEXADO
30307;39;0166-218X;;4;15;DISCRETE APPLIED MATHEMATICS;245;;;10.1016/j.dam.2017.03.018;ELSEVIER SCIENCE BV;Q3
30648;1;1666 6917;;;;REVISTA TECNOLOGÍA Y CIENCIA;;31;;;SECRETARÍA DE CIENCIA Y TECNOLOGÍA, UTN;NO INDEXADO
31027;7;0186-0348;;6;40;SECUENCIA. REVISTA DE HISTORIA Y CIENCIAS SOCIALES;;101;;;INSTITUTO DE INVESTIGACIONES DR. JOSÉ M. LUIS MORA;NO INDEXADO
31589;39;0166-218X;;12;21;DISCRETE APPLIED MATHEMATICS;234;;;10.1016/j.dam.2016.08.004;ELSEVIER SCIENCE BV;Q3
33207;1;0370-4661;;233;248;REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS DE LA UNIVERSIDAD NACIONAL DE CUYO;;1;;;UNIV NACIONAL CUYO;Q3
35043;35;0034-8341;;593;629;REVISTA DE INDIAS;78;273;;;CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;Q3
35550;1;1515-3398;;26;28;IMAGO AGENDA;;204;;;LETRA VIVA;NO INDEXADO
36222;63;0021-7670;;225;247;JOURNAL D4ANALYSE MATHEMATIQUE;135;1;;;SPRINGER;Q1
37924;1;1852-060X;;153;170;REVISTA DEL MUSEO DE ANTROPOLOGÍA;11;1;;;UNIVERSIDAD NACIONAL DE CÓRDOBA;Q1
41438;21;1996-0808;;43;53;AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH;2;;;;ACADEMIC JOURNALS;NO INDEXADO
44156;22;0381-7032;;317;333;ARS COMBINATORIA;137;;;10.1016/j.dam.2017.02.003;CHARLES BABBAGE RES CTR;Q3
48157;504;1314?4057;;73;88;MYCOKEYS;42;;;;PENSOFT;Q1
49212;21;2469-9985;;;;PHYSICAL REVIEW C;97;2;;10.1103/PhysRevC.97.024307;AMERICAN PHYSICAL SOCIETY;NO INDEXADO
50529;35;0213-8409;;283;296;LIMNETICA; 37;2;;;ASOC ESPAN LIMNOL-MISLATA;Q1
50799;12;2215-2652;;100;114;INGENIERÍA;28;2;;;UCR;NO INDEXADO
54047;1;2591-653X;;107;123;REVISTA CONVERGENCIAS;1;1;;;EDITORIAL DE LA FACULTAD DE EDUCACIÓN - UNIVERSIDAD NACIONAL DE CUYO;NO INDEXADO
54449;37;2705-6937;;;;CAHIERS CRITIQUES DE LA PHILOSOPHIE;;20;;;L'HARMATAN;NO INDEXADO
55036;1;1851-8249;;38;56;REVISTA ASOCIACION ARGENTINA GEOLOGOS ECONOMISTAS;;14;;;ASOCIACION ARGENTINA DE GEOLOGOS ECONOMISTAS;NO INDEXADO
55265;1;0024-1636;;;;DIARIO LA LEY - SUPLEMENTO DERECHO ADMINISTRATIVO;2018;;;;LA LEY - THOMSON REUTERS;NO INDEXADO
61188;1;0210-5187;;63;67;MEDICINA CUTANEA IBERO-LATINO-AMERICANA.;46;1;;;COLEGIO IBERO LATINO AMERICANO DE DERMATOLOGÍA (CILAD);NO INDEXADO
62890;39;0166-218X;;16;27;DISCRETE APPLIED MATHEMATICS;245;;;10.1016/j.endm.2013.10.027;ELSEVIER SCIENCE BV;Q3
66122;61;2153-117X;;191;197;MATERIALS SCIENCES AND APPLICATIONS;04;03;;10.4236/msa.2013.43023;SCIENTIFIC RESEARCH PUBLISHING;NO INDEXADO
66608;4;0124-7913;;61;74;BITÃ¡CORA URBANO-TERRITORIAL;;22;;;UNIV. NAC. COLOMBIA - FACULTAD DE ARTES;Q3
85289;21;1537-744X;;1;11;SCIENTIFIC WORLD JOURNAL, THE;2013;;;10.1155/2013/678156;THESCIENTIFICWORLD LTD;Q2
111359;1;2618-1827;;28;33;SOBERANÍA SANITARIA;2;4;;;ATE SANTA FE;NO INDEXADO
116086;404;1175-5326;;539;555;ZOOTAXA;4379;4;;10.11646/zootaxa.4379.4.6;MAGNOLIA PRESS;Q2
137744;21;0926-9630;;417;421;STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS;192;1-2;;10.3233/978-1-61499-289-9-417;IOS PRESS;NO INDEXADO
138192;4;2011-6438;;;;DERECHO Y SOCIEDAD;;;;;UNIDAD EDITORIAL;NO INDEXADO
234169;82;1466-5026;;14;20;INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY.;68;1;;10.1099/ijsem.0.002293;SOC GENERAL MICROBIOLOGY;Q2
234443;64;1226-086X;;92;99;JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY;58;;;;KOREAN SOC INDUSTRIAL ENGINEERING CHEMISTRY;Q1
234490;521;1878-5352;;181;187;ARABIAN JOURNAL OF CHEMISTRY;11;;;10.1016/j.arabjc.2014.11.022;KING SAUD UNIVERSITY;Q2
238079;35;1575-1813;;;;EDUCACIÓN MÉDICA;;;;;CÁTEDRA DE EDUCACIÓN MÉDICA FUNDACIÓN LILLY-UCM;NO INDEXADO
238081;21;1554-351X;;1234;1247;BEHAVIOR RESEARCH METHODS;50;3;;10.3758/s13428-017-0939-x;SPRINGER NEW YORK LLC;NO INDEXADO
238084;21;;;;;JOURNAL OF ENVIRONMENTAL ENGINEERING;144;;;10.1061/(ASCE)EE.1943-7870.0001313;ASCE-AMER SOC CIVIL ENGINEERS;NO INDEXADO
238091;21;0968-4328;;35;46;MICRON;105;;;;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
238092;21;0968-4328;;35;46;MICRON;;105;;;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
238094;1;0022-0949;;;;JOURNAL OF EXPERIMENTAL BIOLOGY;;;;;COMPANY OF BIOLOGISTS LTD;NO INDEXADO
238100;21;0025-5408;;150;157;MATERIALS RESEARCH BULLETIN;97;;;10.1016/j.materresbull.2017.08.013;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
238185;39;0304-3894;;408;417;JOURNAL OF HAZARDOUS MATERIALS.;342;;;10.1016/j.jhazmat.2017.08.041;ELSEVIER SCIENCE BV;NO INDEXADO
238356;21;0191-2917;;250;250;PLANT DISEASE;102;;;10.1094/PDIS-07-17-1071-PDN;AMER PHYTOPATHOLOGICAL SOC;NO INDEXADO
238357;35;1576-4184;;;;RES PUBLICA;21;1;;;UNIVERSIDAD DE MURCIA, ESPAÑA;NO INDEXADO
238358;61;1818-0876;;54;62;ASIAN JOURNAL OF PHARMACEUTICAL SCIENCES;13;1;;10.1016/j.ajps.2017.08.007;ELSEVIER;NO INDEXADO
238361;82;0022-5142;;174;182;JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE;98;1;;10.1002/jsfa.8452;JOHN WILEY & SONS LTD;NO INDEXADO
238394;12;;;;;UNICIENCIA;;;;;UNIVERSIDAD NACIONAL DE COSTA RICA;NO INDEXADO
238435;1;;;;;FUNDAMENTOS;;;;;FCE - UNIVERSIDAD NACIONAL DE RÍO CUARTO;NO INDEXADO
238473;570;2212-9391;;43;55;BIOLOGICALLY RATIONALIZED COMPUTING TECHNIQUES FOR IMAGE PROCESSING APPLICATIONS;25;;;10.1007/978-3-319-61316-1_3;SPRINGER INTERNATIONAL PUBLISHING;NO INDEXADO
238476;1;;;1;15;REVISTA ARGENTINA DE ANTROPOLOGÍA BIOLÓGICA;20;2;;10.17139/raab.2014.0016.01.01;UNIVERSIDAD NACIONAL DE LA PLATA;NO INDEXADO
238481;82;0091-4037;;647;659;INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS;67;;;10.1080/00914037.2017.1362640;TAYLOR & FRANCIS AS;NO INDEXADO
238552;1;1666-5112;;85;105;CUADERNOS DEL CIMBAGE;20;;;;UNIVERSIDAD DE BUENOS AIRES. FACULTAD DE CIENCIAS ECONÓMICAS. INSTITUTO DE INVESTIGACIONES EN ESTADÍSTICA Y MATEMÁTICA. CENTRO DE INVESTIGACIÓN EN METODOLOGÍA BORROSA APLICADA A LA GESTIÓN Y ECONOMÍA;NO INDEXADO
238555;21;0950-5423;;533;540;INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY;53;;;10.1111/ijfs.13626;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
238685;21;0021-9967;;109;119;JOURNAL OF COMPARATIVE NEUROLOGY;526;1;;10.1002/cne.24322;WILEY-LISS, DIV JOHN WILEY & SONS INC;NO INDEXADO
238722;1;0325-3384;;60;66;LA ALIMENTACIÓN LATINOAMERICANA;333;;;;BUENOS AIRES;NO INDEXADO
238750;4;1794-4724;;331;344;AVANCES EN PSICOLOGÍA LATINOAMERICANA;36;2;;10.12804/apl;UNIVERSIDAD DEL ROSARIO;NO INDEXADO
238787;21;0147-6513;;151;156;ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;;147;;;ACADEMIC PRESS INC ELSEVIER SCIENCE;NO INDEXADO
238820;1;1666-244X;;205;216;SUBJETIVIDAD Y PROCESOS COGNITIVOS;21;2;;;UCES;NO INDEXADO
238840;3;1413-8123;;2741;2750;CIÃªNCIA E SAÃºDE COLETIVA;23;;;;ASSOCIAÇÃO BRASILEIRA DE SAÚDE COLETIVA;Q2
238845;4;0120-2456;;;;ANUARIO COLOMBIANO DE HISTORIA SOCIAL Y DE LA CULTURA;45;1;;10.15446/achsc;UNIVERSIDAD NACIONAL DE COLOMBIA, FACULTAD DE CIENCIAS HUMANAS, DEPARTAMENTO DE HISTORIA;NO INDEXADO
238877;21;0014-2336;;;;EUPHYTICA;214;2;;10.1007/s10681-017-2031-0;SPRINGER;NO INDEXADO
238879;21;0008-4034;;696;703;THE CANADIAN JOURNAL OF CHEMICAL ENGINEERING;96;3;;10.1002/cjce.23000;JOHN WILEY & SONS INC;NO INDEXADO
238919;7;1665-8906;;;;MIGRACIONES INTERNACIONALES;;35;;;EL COLEGIO DE LA FRONTERA NORTE;NO INDEXADO
239038;21;0278-0046;;2280;2288;IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;65;3;;10.1109/TIE.2017.2740846;IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC;NO INDEXADO
239057;12;1415-5141;;46;68;UNICIENCIAS;32;1;;10.15359/ru.32-1.4;UNIVERSIDAD DE COSTA RICA;NO INDEXADO
239073;35;1695-2030;;53;74;BOLETÍN DE LA SOCIEDAD ESPAÑOLA DE HISTORIOGRAFÍA LINGÜÍSTICA;;12;;;SOCIEDAD ESPAÑOLA DE HISTORIOGRAFÍA LINGÜÍSTICA;NO INDEXADO
239093;61;1007-662X;;983;990;JOURNAL OF FORESTRY RESEARCH;29;4;;10.1007/s11676-017-0489-1;SPRINGER BERLIN HEIDELBERG;NO INDEXADO
239184;1;1515-9485;;;;ESPACIOS EN BLANCO. SERIE INDAGACIONES;;;;;NÚCLEO DE ESTUDIOS EDUCACIONALES Y SOCIALES, FACULTAD DE CIENCIAS HUMANAS, UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;NO INDEXADO
239234;21;0195-6671;;182;193;CRETACEOUS RESEARCH (PRINT);83;;;10.1016/j.cretres.2017.07.022;ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD;NO INDEXADO
239244;39;0308-8146;;631;639;FOOD CHEMISTRY;239;;;10.1016/j.foodchem.2017.06.142;ELSEVIER SCI LTD;NO INDEXADO
239269;21;0306-4603;;174;181;ADDICTIVE BEHAVIORS.;;;;;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
239272;45;1743-4955;;36;49;INTERNATIONAL JOURNAL OF ENVIRONMENT AND HEALTH;9;1;;10.1504/IJENVH.2018.090864;INDERSCIENCE ENTERPRISES LTD.;NO INDEXADO
239312;21;1570-1611;;355;360;CURRENT VASCULAR PHARMACOLOGY;16;4;;10.2174/1570161115666170609102506;BENTHAM SCIENCE PUBL LTD;NO INDEXADO
239355;21;0022-1899;;;;JOURNAL OF INFECTIOUS DISEASES;;;;10.1093/infdis/jiy079;UNIV CHICAGO PRESS;NO INDEXADO
239362;9;2223-1757;;33;69;APUNTES: REVISTA DE CIENCIAS SOCIALES;83;;;10.21678/apuntes.82.863;UNIVERSIDAD DEL PACÍFICO;NO INDEXADO
239371;1;0329-8922;;;;REVISTA DE CIENCIA Y TECNOLOGÃ­A;;;;;CENTRO DE INVESTIGACIÓN Y DESARROLLO TECNOLÓGICO, FACULTAD DE CIENCIAS EXACTAS, QUÍMICAS Y NATURALES, UNIVERSIDAD NACIONAL DE MISIONES;NO INDEXADO
239378;21;0306-4603;;174;181;ADDICTIVE BEHAVIORS.;76;;;10.1016/j.addbeh.2017.08.008;PERGAMON-ELSEVIER SCIENCE LTD;NO INDEXADO
239399;1;1852-7175;;222;245;REVISTA TRANSPORTE Y TERRITORIO;18;;;;PROGRAMA TRANSPORTE Y TERRITORIO, INSTITUTO DE GEOGRAFÍA FILO:UBA;NO INDEXADO
239414;21;2164-6325;;139;151;JOURNAL OF RENEWABLE MATERIALS;6;2;;10.7569/JRM.2017.634145;SCRIVENER PUBLISHING;NO INDEXADO
239469;21;0035-8711;;105;115;MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY;473;;;;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
239472;21;0031-8655;;186;189;PHOTOCHEMISTRY AND PHOTOBIOLOGY;94;;;10.1111/php.12843;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
